DESIGNATION,RA,DEC,ra_gaia_ref,dec_gaia_ref,pmra,pmdec,j,h,k,distJ,distH,distK
Gaia DR3 1445580026402683136,205.703501,26.79260718,205.7034557,26.79260543,-2.101888738,0.913541671,17.41646826,18.27027932,19.82318837,0.145721087,0.19345126,0.274471098
Gaia DR3 1251308523775474816,206.9811434,22.33275785,206.9811647,22.33271612,0,0,17.15447668,18.71226109,19.31157614,0.166034002,0.171555536,0.186960063
Gaia DR3 1514806828969425664,190.3124453,33.50637992,190.3124398,33.50632384,7.076483785,-18.1435557,17.86565917,18.04180254,19.46640274,0.202592042,0.353347827,0.197135061
Gaia DR3 3961442920594906112,190.8352232,26.87209019,190.8351778,26.87209635,-0.012032426,-0.198097411,18.12890704,18.2925199,19.87065508,0.147668815,0.112254032,0.17418069
Gaia DR3 1465753766963563648,193.3037028,31.65729993,193.303664,31.65730136,1.753570277,-4.734118584,18.23669591,18.37728926,19.79150232,0.118979585,0.235881922,0.094161014
Gaia DR3 1513781633160268288,192.8378309,31.6208797,192.8378149,31.62085647,0,0,17.25799443,17.9866424,19.07884758,0.096900307,0.054683179,0.131027096
Gaia DR3 1455104000416601856,205.0928761,28.89943419,205.0928589,28.89939745,1.569416789,-14.74467405,16.20214567,17.26915234,18.50332256,0.143054239,0.125176003,0.144963209
Gaia DR3 1456020988818099328,204.1199461,30.0147794,204.1199105,30.01477084,-2.36364339,-8.444406518,17.69212177,17.78285612,19.16249744,0.115065631,0.121304693,0.213430471
Gaia DR3 1446355697495893120,201.0204507,24.4688551,201.0204638,24.46885249,0,0,17.84389343,18.33386305,19.74513004,0.043712621,0.097540784,0.078125634
Gaia DR3 1448312278436147712,201.6047822,26.16189435,201.6047332,26.16186164,4.544623566,-16.22858808,17.46407139,18.58754278,19.73691199,0.197127896,0.163216088,0.270085631
Gaia DR3 3962888533571711872,190.662863,28.06456387,190.6627998,28.06450147,1.092022805,-11.03744283,18.36334932,18.34858182,19.96561262,0.301278294,0.404317877,0.466125634
Gaia DR3 3956943268041836288,194.1842611,24.15921158,194.1842527,24.15913745,-5.224415785,-12.03656388,17.59747434,18.95030564,19.93390145,0.268294003,0.254389437,0.175109515
Gaia DR3 1448579562840577792,203.9383336,26.80038614,203.9383269,26.80037007,-13.54164661,-9.263850616,16.48120176,17.68939981,18.57038143,0.061653737,0.079162366,0.15856447
Gaia DR3 1447982115712153088,202.0492963,25.06468715,202.0492823,25.06468132,-6.07385875,-4.253412542,17.4585922,18.51778496,19.97926232,0.05024023,0.056997088,0.13699338
Gaia DR3 1450294667836227072,208.1428843,25.77924449,208.1429187,25.77918679,-0.693762832,-17.24947584,16.94882034,18.32232083,18.88401114,0.235690238,0.231706133,0.195976178
Gaia DR3 1514202097573382400,192.6902636,33.06828644,192.6902635,33.06824435,4.08809907,-16.47060774,16.33519679,16.82086785,17.99554344,0.151520782,0.177989723,0.194050761
Gaia DR3 1464377586427369728,196.2960036,29.53009943,196.2960063,29.53007142,-6.260125533,-3.465978333,18.66041048,18.59521366,19.92906868,0.101180425,0.142211432,0.367293316
Gaia DR3 1465497855632243328,194.11706,31.26854955,194.1170053,31.26852158,-14.9926993,-3.992954055,14.60017232,15.59265209,16.6137016,0.196184576,0.181834161,0.19468551
Gaia DR3 1455762126844988160,206.7081425,31.0073516,206.7080973,31.00731137,-16.34285226,-2.342360849,18.08039571,18.20690195,19.89735938,0.200928984,0.222730173,0.324262278
Gaia DR3 1449911208862658688,201.8373832,28.52675892,201.8373021,28.52666833,0,0,17.73517303,18.46366301,19.45033648,0.414863242,0.34893028,0.442714105
Gaia DR3 1456266248630872448,204.1646325,30.67109878,204.1645635,30.6710468,0,0,18.34021471,18.47419239,19.98287957,0.284136624,0.397471777,0.252170017
Gaia DR3 1462160043272913152,202.2461732,29.83180304,202.2461287,29.83178908,-14.89811755,-13.37386658,17.48401811,18.12892253,19.61624473,0.14761645,0.230676555,0.221670647
Gaia DR3 1450624345232838528,208.4656994,26.52086771,208.4656815,26.52085151,-14.54376692,-4.526996454,17.81225385,18.52350119,19.52820935,0.081974426,0.262455695,0.082510548
Gaia DR3 1454880039346188672,205.580537,28.50111383,205.5805377,28.50112034,-0.288693516,-2.87401975,18.29692799,18.45091762,19.80275731,0.023543375,0.063395759,0.153947518
Gaia DR3 3956042733659339904,192.4977397,23.45589037,192.4976377,23.45584679,0,0,18.46025605,18.48427189,19.95002048,0.371506001,0.402905972,0.298009923
Gaia DR3 1445759972646144896,199.3002132,22.88709206,199.3001492,22.88704386,-6.174218265,-9.109700561,17.53566984,18.68661287,19.70989754,0.274364258,0.314755857,0.259000942
Gaia DR3 1451917886301529344,208.5004747,28.23309815,208.5004411,28.2330501,0.687308866,-3.354637709,17.91929921,18.09116392,19.68258135,0.203301447,0.260709157,0.204227388
Gaia DR3 1451308756859744256,206.4850996,26.30547759,206.4851158,26.30545743,-4.315588593,-2.332409853,17.66442783,18.63910132,19.61169083,0.089284255,0.073629307,0.066686419
Gaia DR3 1466658969975099264,199.0178171,32.67835502,199.0177539,32.67829726,-7.562204786,-8.888092317,17.50751656,18.30684044,19.19441846,0.282860451,0.298728763,0.173607982
Gaia DR3 1445596248492655488,205.24678,26.5572163,205.2467622,26.55720621,0,0,17.93312498,17.99836282,19.42455064,0.068076612,0.044669321,0.252703699
Gaia DR3 1461267617788044672,195.9896782,29.05796441,195.989607,29.05790786,-10.15373284,-2.672920022,16.6687624,17.99489317,18.90692489,0.302824282,0.256002073,0.263332652
Gaia DR3 1456894550806440320,205.4080936,32.49648978,205.4080668,32.49648063,0.066188862,-3.089527832,18.07977732,19.14198574,19.73549311,0.087764298,0.112340702,0.164823053
Gaia DR3 1250783232094787200,210.0342909,22.67339083,210.0342452,22.67330521,1.723950504,-7.731551737,18.03244089,19.13405171,19.73057721,0.343639489,1.790954795,1.797869428
Gaia DR3 1455082731738265344,204.6185564,29.16338282,204.6186232,29.16334374,3.153333987,-1.253394448,17.85010263,19.02912966,19.68157665,0.252888776,0.165202207,0.177834589
Gaia DR3 1459668034527869952,196.6863774,26.49497832,196.6863367,26.49488389,0.002818312,-8.166780833,17.4232959,17.66497882,19.19644876,0.364332934,0.379411099,0.39995746
Gaia DR3 1464705451347491200,195.8904154,30.7519656,195.8903459,30.75190258,-5.760394718,-10.13484983,15.42441874,16.43442279,17.25540027,0.31273638,0.302244575,0.333016091
Gaia DR3 1516017288192432384,194.0684843,35.45463494,194.0683134,35.45464505,-15.47037106,-11.78965165,15.93789607,16.9236475,17.82068166,0.502398573,0.49355533,0.482060685
Gaia DR3 1464302957075812864,195.803996,29.61371782,195.8039255,29.6136684,-7.814877411,-5.100890372,17.82958926,18.47381934,19.54557667,0.283407119,0.309215646,0.241033255
